gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Flag,ServiceCount,Churn_Label,Churn_Probability,Risk_Level,Recommended_Action,Revenue_At_Risk
Male,0,Yes,Yes,13,Yes,No,DSL,1,0,0,0,0,0,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,1,0,0.10291022,Low Risk,​​​​​​​✅ No Immediate Action,51.45511
Male,0,No,No,16,Yes,No,No,0,0,0,0,0,0,Two year,No,Credit card (automatic),18.95,326.8,No,0,0,0,0.0055151265,Low Risk,​​​​​​​✅ No Immediate Action,2.7575634
Male,0,Yes,No,58,Yes,Yes,Fiber optic,0,0,1,0,1,1,One year,No,Credit card (automatic),100.35,5681.1,No,0,3,0,0.22385715,Low Risk,​​​​​​​✅ No Immediate Action,111.92857
Male,0,No,No,49,Yes,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,4,1,0.6827409,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,341.37045
Male,0,No,No,25,Yes,No,Fiber optic,1,0,1,1,1,1,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,5,0,0.5798194,Low Risk,​​​​​​​✅ No Immediate Action,289.9097
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,1,1,1,1,1,1,Two year,No,Credit card (automatic),113.25,7895.15,No,0,6,0,0.03585232,Low Risk,​​​​​​​✅ No Immediate Action,17.92616
Female,0,No,No,52,Yes,No,No,0,0,0,0,0,0,One year,No,Mailed check,20.65,1022.95,No,0,0,0,0.01592815,Low Risk,​​​​​​​✅ No Immediate Action,7.9640746
Male,0,No,Yes,71,Yes,Yes,Fiber optic,1,0,1,0,1,1,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,4,0,0.053091552,Low Risk,​​​​​​​✅ No Immediate Action,26.545776
Female,0,Yes,Yes,10,Yes,No,DSL,0,0,1,1,0,0,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,2,1,0.13897178,Low Risk,​​​​​​​✅ No Immediate Action,69.485886
Female,0,No,No,21,Yes,No,Fiber optic,0,1,1,0,0,1,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,3,0,0.38324544,Low Risk,​​​​​​​✅ No Immediate Action,191.62273
Male,1,No,No,1,No,No phone service,DSL,0,0,1,0,0,1,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,2,1,0.9622054,High Risk,​​​​​​​🔥 Call + 20% Discount,481.1027
Male,0,Yes,No,12,Yes,No,No,0,0,0,0,0,0,One year,No,Bank transfer (automatic),19.8,202.25,No,0,0,0,0.055108067,Low Risk,​​​​​​​✅ No Immediate Action,27.554033
Male,0,No,No,1,Yes,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,0,1,0.7315052,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,365.7526
Female,0,Yes,No,58,Yes,Yes,DSL,0,1,0,1,0,0,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,2,0,0.02090293,Low Risk,​​​​​​​✅ No Immediate Action,10.451465
Male,0,Yes,Yes,49,Yes,No,DSL,1,1,0,1,0,0,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,3,0,0.09680602,Low Risk,​​​​​​​✅ No Immediate Action,48.40301
Female,0,No,No,30,Yes,No,DSL,1,1,0,0,0,0,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,2,0,0.075360864,Low Risk,​​​​​​​✅ No Immediate Action,37.68043
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,0,1,0,0,1,1,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,3,1,0.8236159,High Risk,​​​​​​​🔥 Call + 20% Discount,411.80795
Male,0,Yes,Yes,1,No,No phone service,DSL,0,1,0,0,0,0,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,1,1,0.8528514,High Risk,​​​​​​​🔥 Call + 20% Discount,426.4257
Male,0,Yes,No,72,Yes,Yes,DSL,1,1,1,1,1,1,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,6,0,0.0016566504,Low Risk,​​​​​​​✅ No Immediate Action,0.8283252
Female,0,No,Yes,17,Yes,No,DSL,0,0,0,0,1,1,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,2,1,0.47171417,Low Risk,​​​​​​​✅ No Immediate Action,235.85709
Female,1,Yes,No,71,Yes,Yes,Fiber optic,1,1,1,1,0,0,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,4,0,0.007780013,Low Risk,​​​​​​​✅ No Immediate Action,3.8900065
Male,1,Yes,No,2,Yes,No,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,3,0,0.5441139,Low Risk,​​​​​​​✅ No Immediate Action,272.05695
Female,0,Yes,Yes,27,Yes,No,DSL,1,1,1,1,0,0,One year,No,Mailed check,66.15,1874.45,No,0,4,0,0.044127773,Low Risk,​​​​​​​✅ No Immediate Action,22.063887
Male,0,No,No,1,Yes,No,No,0,0,0,0,0,0,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,0,0,0.21153644,Low Risk,​​​​​​​✅ No Immediate Action,105.76822
Male,1,No,No,1,Yes,No,DSL,0,0,0,0,0,0,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,0,0,0.5166877,Low Risk,​​​​​​​✅ No Immediate Action,258.34384
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,1,1,0,1,1,0,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,4,0,0.003231368,Low Risk,​​​​​​​✅ No Immediate Action,1.615684
Male,0,No,No,5,Yes,No,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,0,1,0.7425313,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,371.26566
Female,0,No,No,46,Yes,No,Fiber optic,0,0,1,0,0,0,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,1,0,0.20997103,Low Risk,​​​​​​​✅ No Immediate Action,104.98551
Male,0,No,No,34,Yes,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,4,1,0.7432902,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,371.64508
Female,0,No,No,11,Yes,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,3,1,0.9669653,High Risk,​​​​​​​🔥 Call + 20% Discount,483.48267
Male,0,Yes,Yes,10,Yes,No,DSL,0,1,0,0,0,0,One year,No,Mailed check,49.55,475.7,No,0,1,0,0.059135273,Low Risk,​​​​​​​✅ No Immediate Action,29.567636
Female,0,Yes,Yes,70,Yes,Yes,DSL,1,1,0,0,1,0,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,3,0,0.058500104,Low Risk,​​​​​​​✅ No Immediate Action,29.250051
Female,0,Yes,Yes,17,Yes,No,No,0,0,0,0,0,0,One year,No,Mailed check,20.75,418.25,No,0,0,0,0.03395446,Low Risk,​​​​​​​✅ No Immediate Action,16.97723
Female,0,No,No,63,Yes,Yes,DSL,1,1,1,1,1,0,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,5,0,0.013885484,Low Risk,​​​​​​​✅ No Immediate Action,6.942742
Female,0,Yes,No,13,Yes,Yes,DSL,1,1,0,1,1,0,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,4,0,0.13158122,Low Risk,​​​​​​​✅ No Immediate Action,65.79061
Female,0,No,No,49,Yes,Yes,Fiber optic,0,0,0,0,0,1,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,1,0,0.5568443,Low Risk,​​​​​​​✅ No Immediate Action,278.42215
Male,0,No,No,2,Yes,No,DSL,0,1,0,0,0,0,Month-to-month,No,Mailed check,49.25,97.0,No,0,1,0,0.25564742,Low Risk,​​​​​​​✅ No Immediate Action,127.82371
Female,0,No,No,2,Yes,No,Fiber optic,0,0,0,0,1,0,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,1,1,0.7960531,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,398.02655
Male,0,No,No,52,Yes,Yes,DSL,1,0,0,1,1,1,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,4,0,0.020656593,Low Risk,​​​​​​​✅ No Immediate Action,10.328297
Female,0,Yes,Yes,69,Yes,Yes,DSL,1,0,1,1,0,0,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,3,0,0.023699256,Low Risk,​​​​​​​✅ No Immediate Action,11.8496275
Female,1,No,No,43,Yes,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,2,0,0.3224514,Low Risk,​​​​​​​✅ No Immediate Action,161.22571
Female,0,No,No,15,Yes,No,Fiber optic,1,1,0,0,1,1,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,4,1,0.6360902,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,318.0451
Female,1,Yes,No,25,Yes,Yes,DSL,1,0,0,1,1,0,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,3,0,0.041524183,Low Risk,​​​​​​​✅ No Immediate Action,20.76209
Female,1,Yes,No,8,Yes,Yes,Fiber optic,0,1,0,0,0,0,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,1,1,0.7848224,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,392.4112
Female,1,Yes,Yes,60,Yes,No,DSL,1,1,1,1,0,1,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,5,0,0.029466152,Low Risk,​​​​​​​✅ No Immediate Action,14.733076
Male,1,No,No,18,Yes,Yes,Fiber optic,0,0,0,0,1,1,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,2,1,0.8345726,High Risk,​​​​​​​🔥 Call + 20% Discount,417.28632
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,1,0,0,0,1,1,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,3,0,0.20753868,Low Risk,​​​​​​​✅ No Immediate Action,103.76934
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,0,1,1,1,1,1,One year,Yes,Electronic check,108.45,7076.35,No,0,5,0,0.10548694,Low Risk,​​​​​​​✅ No Immediate Action,52.74347
Female,0,Yes,Yes,34,Yes,Yes,No,0,0,0,0,0,0,Two year,No,Credit card (automatic),24.95,894.3,No,0,0,0,0.019171532,Low Risk,​​​​​​​✅ No Immediate Action,9.585766
Female,0,No,No,72,Yes,Yes,Fiber optic,0,0,1,1,1,1,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,4,0,0.024239067,Low Risk,​​​​​​​✅ No Immediate Action,12.119534
Female,0,Yes,No,47,Yes,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,3,0,0.38002366,Low Risk,​​​​​​​✅ No Immediate Action,190.01183
Male,0,No,No,60,Yes,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,2,0,0.14314324,Low Risk,​​​​​​​✅ No Immediate Action,71.57162
Male,0,Yes,No,72,No,No phone service,DSL,1,1,1,0,0,0,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,3,0,0.00495071,Low Risk,​​​​​​​✅ No Immediate Action,2.4753551
Female,0,Yes,Yes,18,Yes,No,DSL,0,0,1,1,0,0,One year,Yes,Credit card (automatic),54.4,957.1,No,0,2,0,0.09460631,Low Risk,​​​​​​​✅ No Immediate Action,47.303154
Female,0,No,No,9,Yes,Yes,Fiber optic,0,0,0,0,1,1,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,2,1,0.8586516,High Risk,​​​​​​​🔥 Call + 20% Discount,429.32578
Female,0,No,No,3,Yes,No,DSL,0,1,0,1,1,1,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,4,0,0.1852063,Low Risk,​​​​​​​✅ No Immediate Action,92.60315
Male,0,Yes,No,47,Yes,Yes,Fiber optic,0,1,0,0,0,0,One year,Yes,Electronic check,78.9,3650.35,No,0,1,0,0.47310823,Low Risk,​​​​​​​✅ No Immediate Action,236.55412
Female,0,No,No,31,Yes,No,DSL,0,1,1,1,1,1,Two year,No,Mailed check,79.2,2497.2,No,0,5,0,0.014053099,Low Risk,​​​​​​​✅ No Immediate Action,7.0265493
Female,0,Yes,Yes,50,Yes,No,No,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,0,0,0.007344623,Low Risk,​​​​​​​✅ No Immediate Action,3.6723115
Male,0,No,No,10,Yes,No,Fiber optic,1,0,1,0,0,0,Month-to-month,Yes,Mailed check,79.85,887.35,No,0,2,0,0.19000071,Low Risk,​​​​​​​✅ No Immediate Action,95.00036
Male,0,No,No,1,Yes,No,DSL,0,0,0,1,0,0,Month-to-month,No,Mailed check,49.05,49.05,No,0,1,0,0.21749026,Low Risk,​​​​​​​✅ No Immediate Action,108.745125
Female,0,Yes,Yes,52,Yes,No,No,0,0,0,0,0,0,One year,Yes,Electronic check,20.4,1090.65,No,0,0,0,0.052969456,Low Risk,​​​​​​​✅ No Immediate Action,26.484728
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,1,0,1,1,1,1,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0,5,0,0.08752572,Low Risk,​​​​​​​✅ No Immediate Action,43.76286
Male,0,Yes,Yes,62,Yes,Yes,No,0,0,0,0,0,0,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,0,0,0.0044302894,Low Risk,​​​​​​​✅ No Immediate Action,2.2151446
Female,0,No,Yes,3,Yes,No,DSL,1,0,0,1,0,1,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,3,0,0.22275269,Low Risk,​​​​​​​✅ No Immediate Action,111.37634
Female,1,No,No,56,Yes,Yes,Fiber optic,1,1,1,0,1,1,One year,No,Electronic check,110.5,6139.5,No,0,5,0,0.14824654,Low Risk,​​​​​​​✅ No Immediate Action,74.12327
Female,0,No,No,46,Yes,No,DSL,0,0,0,0,0,1,One year,No,Credit card (automatic),55.65,2688.85,No,0,1,0,0.08749835,Low Risk,​​​​​​​✅ No Immediate Action,43.749176
Female,0,Yes,Yes,8,Yes,No,DSL,1,1,0,0,0,0,Month-to-month,No,Mailed check,54.65,482.25,No,0,2,0,0.05727792,Low Risk,​​​​​​​✅ No Immediate Action,28.63896
Male,1,No,No,30,Yes,No,DSL,1,1,0,0,1,1,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,4,0,0.110371254,Low Risk,​​​​​​​✅ No Immediate Action,55.185627
Female,0,Yes,Yes,45,Yes,Yes,No,0,0,0,0,0,0,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,0,0,0.08059079,Low Risk,​​​​​​​✅ No Immediate Action,40.295395
Female,0,No,Yes,1,Yes,No,Fiber optic,0,0,0,0,1,0,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,1,1,0.96271694,High Risk,​​​​​​​🔥 Call + 20% Discount,481.35846
Female,0,Yes,Yes,11,No,No phone service,DSL,1,0,0,0,1,1,Month-to-month,No,Electronic check,50.55,565.35,No,0,3,0,0.14534435,Low Risk,​​​​​​​✅ No Immediate Action,72.67217
Female,0,Yes,No,7,Yes,No,Fiber optic,0,0,1,0,0,0,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,1,1,0.73216873,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,366.08438
Female,0,No,No,42,Yes,No,Fiber optic,0,1,1,1,1,1,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,5,0,0.14214526,Low Risk,​​​​​​​✅ No Immediate Action,71.07263
Female,0,Yes,No,49,Yes,No,No,0,0,0,0,0,0,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,0,0,0.01196907,Low Risk,​​​​​​​✅ No Immediate Action,5.9845347
Male,0,No,No,9,Yes,Yes,Fiber optic,0,1,0,0,1,1,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,3,0,0.91448665,High Risk,​​​​​​​🔥 Call + 20% Discount,457.24332
Female,0,Yes,No,35,Yes,No,DSL,1,0,0,0,1,0,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0,2,0,0.040569812,Low Risk,​​​​​​​✅ No Immediate Action,20.284906
Female,0,Yes,Yes,48,Yes,No,No,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0,0,0,0.016344398,Low Risk,​​​​​​​✅ No Immediate Action,8.172199
Female,0,Yes,Yes,46,Yes,No,No,0,0,0,0,0,0,Two year,Yes,Mailed check,19.95,927.1,No,0,0,0,0.014254933,Low Risk,​​​​​​​✅ No Immediate Action,7.1274667
Male,0,Yes,No,29,No,No phone service,DSL,0,0,0,0,1,0,Month-to-month,No,Mailed check,33.75,1009.25,No,0,1,0,0.3778384,Low Risk,​​​​​​​✅ No Immediate Action,188.9192
Male,0,Yes,Yes,30,Yes,No,Fiber optic,0,1,1,0,0,0,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0,2,0,0.10798628,Low Risk,​​​​​​​✅ No Immediate Action,53.99314
Male,1,No,No,1,Yes,No,Fiber optic,0,0,0,1,0,0,Month-to-month,No,Electronic check,74.7,74.7,No,0,1,0,0.20068002,Low Risk,​​​​​​​✅ No Immediate Action,100.34001
Male,0,Yes,Yes,66,Yes,Yes,DSL,1,0,1,1,1,1,Two year,Yes,Mailed check,84.0,5714.25,No,0,5,0,0.0076297475,Low Risk,​​​​​​​✅ No Immediate Action,3.8148737
Female,0,No,No,65,Yes,Yes,Fiber optic,1,1,1,0,1,1,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,0,5,0,0.06672479,Low Risk,​​​​​​​✅ No Immediate Action,33.362396
Male,0,No,No,72,Yes,Yes,Fiber optic,0,1,1,0,1,1,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0,4,0,0.017803656,Low Risk,​​​​​​​✅ No Immediate Action,8.901828
Female,0,No,No,12,Yes,Yes,Fiber optic,1,0,0,0,0,0,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,1,1,0.5810435,Low Risk,​​​​​​​✅ No Immediate Action,290.52173
Male,0,Yes,Yes,71,Yes,Yes,DSL,1,1,0,1,0,0,One year,Yes,Credit card (automatic),66.85,4748.7,No,0,3,0,0.009428645,Low Risk,​​​​​​​✅ No Immediate Action,4.714322
Male,0,No,No,5,Yes,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,0,1,0.30381444,Low Risk,​​​​​​​✅ No Immediate Action,151.90723
Male,0,No,No,52,Yes,No,No,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0,0,0,0.05121658,Low Risk,​​​​​​​✅ No Immediate Action,25.60829
Female,1,Yes,No,25,Yes,No,Fiber optic,0,1,1,0,1,1,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,4,1,0.80364794,High Risk,​​​​​​​🔥 Call + 20% Discount,401.82397
Male,0,No,No,1,Yes,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.2,20.2,No,0,0,0,0.59649754,Low Risk,​​​​​​​✅ No Immediate Action,298.24878
Female,0,Yes,Yes,1,Yes,No,No,0,0,0,0,0,0,Month-to-month,No,Electronic check,19.45,19.45,No,0,0,0,0.4360724,Low Risk,​​​​​​​✅ No Immediate Action,218.03621
Male,0,No,No,38,Yes,Yes,Fiber optic,0,0,1,1,1,0,One year,No,Bank transfer (automatic),95.0,3605.6,No,0,3,0,0.042093247,Low Risk,​​​​​​​✅ No Immediate Action,21.046623
Female,1,Yes,No,66,No,No phone service,DSL,0,1,1,0,1,0,One year,No,Bank transfer (automatic),45.55,3027.25,No,0,3,0,0.048861004,Low Risk,​​​​​​​✅ No Immediate Action,24.430502
Male,0,Yes,No,68,Yes,Yes,Fiber optic,0,1,1,1,1,1,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,5,1,0.8450389,High Risk,​​​​​​​🔥 Call + 20% Discount,422.51944
Male,0,No,No,5,No,No phone service,DSL,0,0,0,0,0,0,Month-to-month,No,Mailed check,24.3,100.2,No,0,0,0,0.19588962,Low Risk,​​​​​​​✅ No Immediate Action,97.94481
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,1,1,0,0,1,1,One year,Yes,Electronic check,104.15,7303.05,No,0,4,0,0.02780197,Low Risk,​​​​​​​✅ No Immediate Action,13.900985
Female,0,No,No,32,No,No phone service,DSL,1,0,0,0,0,0,One year,No,Mailed check,30.15,927.65,No,0,1,0,0.03249968,Low Risk,​​​​​​​✅ No Immediate Action,16.24984
Male,0,No,No,43,Yes,Yes,Fiber optic,0,0,0,0,1,1,One year,No,Mailed check,94.35,3921.3,No,0,2,0,0.21812724,Low Risk,​​​​​​​✅ No Immediate Action,109.06362
Male,0,Yes,Yes,72,Yes,No,No,0,0,0,0,0,0,Two year,No,Credit card (automatic),19.4,1363.25,No,0,0,0,0.0029009872,Low Risk,​​​​​​​✅ No Immediate Action,1.4504936
Male,0,Yes,No,55,Yes,Yes,Fiber optic,1,1,0,0,1,0,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,3,1,0.41411078,Low Risk,​​​​​​​✅ No Immediate Action,207.05539
Female,0,No,No,52,Yes,No,DSL,1,0,1,1,0,0,One year,No,Credit card (automatic),57.95,3042.25,No,0,3,0,0.052674722,Low Risk,​​​​​​​✅ No Immediate Action,26.33736
Female,0,No,No,43,Yes,No,Fiber optic,0,1,1,0,1,0,Month-to-month,Yes,Electronic check,91.65,3954.1,No,0,3,0,0.099275425,Low Risk,​​​​​​​✅ No Immediate Action,49.637714
Female,1,Yes,No,37,Yes,Yes,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,0,1,0.76799464,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,383.9973
Female,0,Yes,Yes,64,No,No phone service,DSL,0,1,0,1,1,1,Two year,Yes,Electronic check,54.6,3423.5,No,0,4,0,0.018553576,Low Risk,​​​​​​​✅ No Immediate Action,9.276788
Male,0,Yes,Yes,3,Yes,No,Fiber optic,1,1,0,0,1,0,Month-to-month,No,Electronic check,89.85,248.4,No,0,3,0,0.11377412,Low Risk,​​​​​​​✅ No Immediate Action,56.887062
Female,0,No,No,36,No,No phone service,DSL,1,0,0,0,0,0,Two year,No,Bank transfer (automatic),31.05,1126.35,No,0,1,0,0.04972814,Low Risk,​​​​​​​✅ No Immediate Action,24.86407
Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,1,0,0,0,1,1,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,3,1,0.9449376,High Risk,​​​​​​​🔥 Call + 20% Discount,472.46878
Female,0,No,No,41,Yes,No,No,0,0,0,0,0,0,Two year,No,Mailed check,20.65,835.15,No,0,0,0,0.005379613,Low Risk,​​​​​​​✅ No Immediate Action,2.6898065
Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,0,1,0,1,0,0,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,0,2,0,0.16967526,Low Risk,​​​​​​​✅ No Immediate Action,84.83763
Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,0,0,1,0,1,1,One year,Yes,Credit card (automatic),99.8,5515.45,No,0,3,0,0.4075821,Low Risk,​​​​​​​✅ No Immediate Action,203.79105
Female,0,No,No,6,Yes,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.7,112.75,No,0,0,0,0.15445183,Low Risk,​​​​​​​✅ No Immediate Action,77.225914
Male,0,No,No,3,Yes,Yes,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,0,1,0.9419162,High Risk,​​​​​​​🔥 Call + 20% Discount,470.9581
Female,0,Yes,Yes,7,Yes,No,DSL,1,0,0,0,0,0,Month-to-month,No,Mailed check,50.7,350.35,No,0,1,0,0.3080407,Low Risk,​​​​​​​✅ No Immediate Action,154.02036
Female,0,Yes,Yes,4,Yes,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.85,62.9,No,0,0,0,0.14583841,Low Risk,​​​​​​​✅ No Immediate Action,72.919205
Male,0,No,No,33,Yes,No,Fiber optic,1,0,0,1,1,0,Two year,Yes,Electronic check,88.95,3027.65,No,0,3,0,0.07092283,Low Risk,​​​​​​​✅ No Immediate Action,35.461414
Female,1,No,No,27,Yes,Yes,Fiber optic,0,0,1,0,0,0,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,1,1,1,0.42676634,Low Risk,​​​​​​​✅ No Immediate Action,213.38316
Male,0,Yes,No,72,Yes,Yes,No,0,0,0,0,0,0,Two year,Yes,Bank transfer (automatic),23.55,1723.95,No,0,0,0,0.002726057,Low Risk,​​​​​​​✅ No Immediate Action,1.3630285
